confirmationnumber,client,program,exam,startdate,enddate,startschedulingdate,endschedulingdate
0000000097023236,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097070312,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097073022,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097145082,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096999686,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097149531,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097149532,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097154052,CPA,CPA,FAR,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097156800,USPTO,USPTO,USPRE,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097123575,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097123597,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097127789,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097128378,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097141156,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097163603,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097163604,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097165426,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097165434,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097179284,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096401569,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097034975,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096701600,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097077282,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097030529,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097025318,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097044002,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097069933,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097059598,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097067927,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097068446,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097083679,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097104265,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097189289,CPA,CPA,FAR,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097197765,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097201613,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097206684,CPA,CPA,AUD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097214363,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097215552,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097216957,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097222215,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097229842,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097229843,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097234297,SHRM,SHRM,SCP,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097239649,CPA,CPA,BEC,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097240274,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097248853,ADA1,ADA1,DAT,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097249531,CPA,CPA,AUD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097252563,CPA,CPA,REG,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097265567,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097270943,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097285301,CPA,CPA,FAR,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097294585,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097294586,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097298580,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096204556,OME,OME,COML2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096287567,NCARB,ARE50,PJM,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096407160,NCARB,ARE50,PPD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096593411,NCARB,ARE50,PDD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096740095,NCARB,ARE50,PCM,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000092003114,NCARB,ARE50,PPD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096782133,NBME,STEP2,STEP2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096798092,NCARB,ARE50,PCM,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096845417,NCARB,ARE50,PA,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096863094,IRS,IRS,SEE2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096878410,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096901343,OME,OME,COML1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000096997046,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097000285,SHRM,SHRM,CP,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097000460,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097008716,SHRM,SHRM,CP,06/15/2022,06/15/2022,06/29/2022,07/29/2022
